frame_time,left_hip,left_knee,left_ankle,left_shoulder,left_elbow,left_wrist,right_hip,right_knee,right_ankle,right_shoulder,right_elbow,right_wrist,exercise
14:42:21.507552,"[0.5181276798248291, 0.4100392758846283]","[0.5391181707382202, 0.6699928641319275]","[0.5533620715141296, 0.8769230842590332]","[0.5310813188552856, 0.09941217303276062]","[0.5659307241439819, 0.24480246007442474]","[0.5099042654037476, 0.2083798050880432]","[0.4429663419723511, 0.413503497838974]","[0.4267920255661011, 0.6707853078842163]","[0.41609427332878113, 0.8784694075584412]","[0.4191204309463501, 0.10457929968833923]","[0.3930659294128418, 0.265164315700531]","[0.4320838153362274, 0.22246700525283813]",squat
14:42:21.576062,"[0.5191106796264648, 0.40894660353660583]","[0.5385134220123291, 0.6662384867668152]","[0.5522972941398621, 0.8755378723144531]","[0.5311716198921204, 0.09929359704256058]","[0.5666308999061584, 0.24667562544345856]","[0.5210150480270386, 0.20836390554904938]","[0.4432834982872009, 0.4135110676288605]","[0.4277413785457611, 0.6697316765785217]","[0.4161878526210785, 0.877396285533905]","[0.4192013442516327, 0.1045059934258461]","[0.39241600036621094, 0.26587486267089844]","[0.42323070764541626, 0.22764305770397186]",squat
14:42:21.635898,"[0.5196697115898132, 0.40803226828575134]","[0.5382950901985168, 0.6652030348777771]","[0.5514864325523376, 0.873742938041687]","[0.5309719443321228, 0.09930171072483063]","[0.567449688911438, 0.2480478137731552]","[0.5300108194351196, 0.20709922909736633]","[0.44356223940849304, 0.41347429156303406]","[0.42839792370796204, 0.6683784127235413]","[0.4163113534450531, 0.8769707679748535]","[0.4191102981567383, 0.10445953905582428]","[0.3916473388671875, 0.2716202735900879]","[0.4180949032306671, 0.22782550752162933]",squat
14:42:21.694788,"[0.5202763676643372, 0.4086938202381134]","[0.5381088256835938, 0.6649082899093628]","[0.5506188273429871, 0.8735244274139404]","[0.5304761528968811, 0.09899391978979111]","[0.567510724067688, 0.24583746492862701]","[0.5329428911209106, 0.20729772746562958]","[0.44360440969467163, 0.4147385358810425]","[0.42885011434555054, 0.6674184203147888]","[0.4163488447666168, 0.8772566318511963]","[0.419181227684021, 0.10328248143196106]","[0.3914782404899597, 0.2686671018600464]","[0.4191594421863556, 0.22835099697113037]",squat
14:42:21.753531,"[0.5203924775123596, 0.40899017453193665]","[0.5382625460624695, 0.6640178561210632]","[0.5506567358970642, 0.8736501932144165]","[0.5304253697395325, 0.09928525984287262]","[0.5675113201141357, 0.24878033995628357]","[0.5339441895484924, 0.20284798741340637]","[0.44352272152900696, 0.416412889957428]","[0.42884352803230286, 0.667438805103302]","[0.41628405451774597, 0.8761215806007385]","[0.41900888085365295, 0.10339131206274033]","[0.38929423689842224, 0.27037400007247925]","[0.41947320103645325, 0.22835388779640198]",squat
14:42:21.812336,"[0.520808756351471, 0.41017863154411316]","[0.5382730960845947, 0.6633687615394592]","[0.5506740808486938, 0.8735876083374023]","[0.5297159552574158, 0.09942267835140228]","[0.5651405453681946, 0.24597899615764618]","[0.5331717133522034, 0.1978403478860855]","[0.44354692101478577, 0.4178054928779602]","[0.42882949113845825, 0.6676608324050903]","[0.4161683917045593, 0.8761352300643921]","[0.4189886748790741, 0.10361569374799728]","[0.3890247344970703, 0.270614355802536]","[0.420148640871048, 0.22895517945289612]",squat
14:42:21.871074,"[0.521173357963562, 0.4102601706981659]","[0.5381897687911987, 0.6631149053573608]","[0.5506961941719055, 0.8746720552444458]","[0.5294693112373352, 0.09949941188097]","[0.5651822686195374, 0.24626664817333221]","[0.5336449146270752, 0.1983359158039093]","[0.4438278377056122, 0.418068528175354]","[0.4292075037956238, 0.6679630875587463]","[0.41616562008857727, 0.8765174746513367]","[0.41904017329216003, 0.10344896465539932]","[0.3889849781990051, 0.2701447010040283]","[0.4204327166080475, 0.22901193797588348]",squat
14:42:21.929235,"[0.521373450756073, 0.41082897782325745]","[0.5379741787910461, 0.6631647348403931]","[0.55070561170578, 0.8755280375480652]","[0.5294564962387085, 0.09960102289915085]","[0.5660728812217712, 0.2465636432170868]","[0.5341328978538513, 0.197641983628273]","[0.44402876496315, 0.41845110058784485]","[0.4296238124370575, 0.6681861877441406]","[0.41611161828041077, 0.8777838349342346]","[0.41922086477279663, 0.10323414206504822]","[0.38903099298477173, 0.27098849415779114]","[0.42041465640068054, 0.2289777249097824]",squat
14:42:21.987088,"[0.5214442014694214, 0.41083452105522156]","[0.5379734039306641, 0.6627852916717529]","[0.5507181286811829, 0.8756256103515625]","[0.5300308465957642, 0.09985971450805664]","[0.5694493055343628, 0.24779829382896423]","[0.5350616574287415, 0.1977044641971588]","[0.44405025243759155, 0.41842424869537354]","[0.4296744167804718, 0.6681742668151855]","[0.4160805344581604, 0.8780767321586609]","[0.4193650484085083, 0.10305009037256241]","[0.38898688554763794, 0.2713237702846527]","[0.42025434970855713, 0.22914020717144012]",squat
14:42:22.046272,"[0.5214388966560364, 0.41082873940467834]","[0.5377933979034424, 0.66205894947052]","[0.55078125, 0.8755902647972107]","[0.5303263068199158, 0.09986743330955505]","[0.5708239674568176, 0.2479083091020584]","[0.5355919599533081, 0.19801002740859985]","[0.44410496950149536, 0.41840267181396484]","[0.4300045073032379, 0.6682664155960083]","[0.41608014702796936, 0.8780786991119385]","[0.4197346866130829, 0.10233242064714432]","[0.3891516327857971, 0.27009502053260803]","[0.4202567934989929, 0.22982782125473022]",squat
14:42:22.104326,"[0.5217272043228149, 0.41119661927223206]","[0.5378686189651489, 0.6614924073219299]","[0.5508309602737427, 0.8755921125411987]","[0.531063437461853, 0.09975497424602509]","[0.5718877911567688, 0.24859918653964996]","[0.5361963510513306, 0.19823287427425385]","[0.4441682696342468, 0.4184737503528595]","[0.42983731627464294, 0.6684817671775818]","[0.4157938063144684, 0.8777432441711426]","[0.42019739747047424, 0.10093241184949875]","[0.38961443305015564, 0.26794931292533875]","[0.42026472091674805, 0.22994336485862732]",squat
14:42:22.162551,"[0.5218566656112671, 0.41103705763816833]","[0.5378732085227966, 0.6606422662734985]","[0.5508424639701843, 0.875519335269928]","[0.5315468311309814, 0.09850360453128815]","[0.5717960596084595, 0.24861566722393036]","[0.5359106659889221, 0.19857805967330933]","[0.4444626271724701, 0.41818302869796753]","[0.4298149049282074, 0.6684935688972473]","[0.41552531719207764, 0.877389669418335]","[0.4217958152294159, 0.09950632601976395]","[0.3906022012233734, 0.26476699113845825]","[0.4188459515571594, 0.22994109988212585]",squat
14:42:22.221918,"[0.5222660899162292, 0.4107207655906677]","[0.5389518737792969, 0.6594176292419434]","[0.5507376790046692, 0.8746163249015808]","[0.5321017503738403, 0.09707909822463989]","[0.5733188986778259, 0.24991242587566376]","[0.5361760258674622, 0.19063790142536163]","[0.4450322985649109, 0.41780656576156616]","[0.42980700731277466, 0.6685158014297485]","[0.4128186106681824, 0.8775975108146667]","[0.4232074022293091, 0.09888828545808792]","[0.39097118377685547, 0.2619296908378601]","[0.4130125045776367, 0.22662732005119324]",squat
14:42:22.281091,"[0.5223395228385925, 0.4114815890789032]","[0.5399108529090881, 0.659454345703125]","[0.5505956411361694, 0.8751209378242493]","[0.532936155796051, 0.09729226678609848]","[0.5733991861343384, 0.25130632519721985]","[0.5358330607414246, 0.1909867525100708]","[0.44503504037857056, 0.4189208149909973]","[0.4286591410636902, 0.6692806482315063]","[0.4098871052265167, 0.87759929895401]","[0.4234151244163513, 0.09936156123876572]","[0.3909442722797394, 0.2621029317378998]","[0.41280075907707214, 0.22665047645568848]",squat
14:42:22.339498,"[0.5223461389541626, 0.41334596276283264]","[0.5411627292633057, 0.6606489419937134]","[0.5504828095436096, 0.8745161294937134]","[0.5351265072822571, 0.09887871146202087]","[0.5748975276947021, 0.2558320462703705]","[0.5356786251068115, 0.20124946534633636]","[0.44503626227378845, 0.41994068026542664]","[0.42771950364112854, 0.6705948114395142]","[0.4066944718360901, 0.8775575757026672]","[0.42441123723983765, 0.09969602525234222]","[0.3919253349304199, 0.26216018199920654]","[0.4131452739238739, 0.22894766926765442]",squat
14:42:22.397716,"[0.5222502946853638, 0.41695529222488403]","[0.5431159138679504, 0.6643949747085571]","[0.5504763126373291, 0.8743107914924622]","[0.5364671349525452, 0.10161597281694412]","[0.5767927765846252, 0.25785958766937256]","[0.5369464755058289, 0.20689120888710022]","[0.4451827108860016, 0.42243319749832153]","[0.4261936545372009, 0.6747124791145325]","[0.40609458088874817, 0.8779703974723816]","[0.42540690302848816, 0.09963378310203552]","[0.3934330940246582, 0.26194337010383606]","[0.4127045273780823, 0.2365499883890152]",squat
14:42:22.455165,"[0.5216813683509827, 0.4210015833377838]","[0.546015202999115, 0.6650945544242859]","[0.5510072708129883, 0.8743526339530945]","[0.5376692414283752, 0.10831121355295181]","[0.5764818787574768, 0.2689085006713867]","[0.5374050736427307, 0.21340323984622955]","[0.44518211483955383, 0.4245493412017822]","[0.42373743653297424, 0.6752965450286865]","[0.4052203595638275, 0.8784544467926025]","[0.4259677231311798, 0.10064965486526489]","[0.3940980136394501, 0.26224127411842346]","[0.4127736985683441, 0.24041754007339478]",squat
14:42:22.513993,"[0.5212377309799194, 0.435184121131897]","[0.5503944754600525, 0.6685178875923157]","[0.5520344376564026, 0.8748605251312256]","[0.5379852056503296, 0.12443074584007263]","[0.5764425992965698, 0.2811448872089386]","[0.5381361842155457, 0.22571100294589996]","[0.4457935690879822, 0.4372970163822174]","[0.41410166025161743, 0.6795690059661865]","[0.4041067361831665, 0.8785400986671448]","[0.4261241853237152, 0.11446529626846313]","[0.39372408390045166, 0.26923149824142456]","[0.41304340958595276, 0.24596263468265533]",squat
14:42:22.572713,"[0.52012699842453, 0.46377798914909363]","[0.559626579284668, 0.6824492812156677]","[0.5533912181854248, 0.8770304918289185]","[0.5382118225097656, 0.1551537662744522]","[0.5789433717727661, 0.301820307970047]","[0.5452049970626831, 0.24855132400989532]","[0.445499986410141, 0.46173331141471863]","[0.40292418003082275, 0.6857889294624329]","[0.40339651703834534, 0.8786635994911194]","[0.42602020502090454, 0.1458260715007782]","[0.3919789493083954, 0.28945690393447876]","[0.41190704703330994, 0.24891942739486694]",squat
14:42:22.632247,"[0.5192697048187256, 0.4952852725982666]","[0.5653007626533508, 0.6901465654373169]","[0.553693950176239, 0.8792511224746704]","[0.5382057428359985, 0.19470597803592682]","[0.5828348398208618, 0.33957037329673767]","[0.5497249364852905, 0.2715454697608948]","[0.4450851380825043, 0.49715113639831543]","[0.3948337435722351, 0.693430483341217]","[0.4021712839603424, 0.8790398836135864]","[0.4253763258457184, 0.19283828139305115]","[0.3776521682739258, 0.33582112193107605]","[0.4040912985801697, 0.3143911361694336]",squat
14:42:22.690094,"[0.5180172324180603, 0.5292508006095886]","[0.5687100887298584, 0.6998129487037659]","[0.5536298751831055, 0.8792476654052734]","[0.5386064052581787, 0.2443685680627823]","[0.5898237824440002, 0.3863513469696045]","[0.5482295155525208, 0.3224879205226898]","[0.44484958052635193, 0.5282171964645386]","[0.38806018233299255, 0.7005976438522339]","[0.401974618434906, 0.8790395855903625]","[0.4250645637512207, 0.24031135439872742]","[0.37118178606033325, 0.3815203607082367]","[0.40294086933135986, 0.3381040692329407]",squat
14:42:22.748458,"[0.5169910788536072, 0.5596374273300171]","[0.5722309350967407, 0.7100490927696228]","[0.5535312294960022, 0.878944993019104]","[0.5386845469474792, 0.285353422164917]","[0.5905125141143799, 0.4200274348258972]","[0.5472356677055359, 0.36431261897087097]","[0.44421854615211487, 0.5582051873207092]","[0.38398805260658264, 0.7091791033744812]","[0.40159159898757935, 0.879159152507782]","[0.42503926157951355, 0.2865446209907532]","[0.3736419975757599, 0.42737364768981934]","[0.40277305245399475, 0.3879254162311554]",squat
14:42:22.808382,"[0.5165875554084778, 0.5889872312545776]","[0.5745875835418701, 0.7203632593154907]","[0.5534787774085999, 0.8812200427055359]","[0.5402634739875793, 0.32452136278152466]","[0.5905839204788208, 0.468029260635376]","[0.5466915965080261, 0.4143621027469635]","[0.4436243176460266, 0.5879084467887878]","[0.3810473680496216, 0.7171672582626343]","[0.40092894434928894, 0.8791900873184204]","[0.42472466826438904, 0.3258424699306488]","[0.3729204833507538, 0.47185519337654114]","[0.4008459448814392, 0.4244471788406372]",squat
14:42:22.867950,"[0.5165555477142334, 0.6150352358818054]","[0.5774063467979431, 0.7279090881347656]","[0.5536929965019226, 0.8814540505409241]","[0.5411021113395691, 0.3587232530117035]","[0.5914590954780579, 0.5106905102729797]","[0.5472148060798645, 0.4507608711719513]","[0.44362401962280273, 0.6120055317878723]","[0.3802746534347534, 0.7201203107833862]","[0.4009197950363159, 0.8790826797485352]","[0.4251652956008911, 0.35771405696868896]","[0.3741779029369354, 0.48566097021102905]","[0.39967525005340576, 0.49287042021751404]",squat
