frame_time,left_hip,left_knee,left_ankle,left_shoulder,left_elbow,left_wrist,right_hip,right_knee,right_ankle,right_shoulder,right_elbow,right_wrist
16:34:25.458379,"[0.4781099259853363, 0.36801472306251526, -0.03611885756254196]","[0.4697050452232361, 0.5742756724357605, -0.03580748289823532]","[0.472206711769104, 0.7662656307220459, 0.00630253367125988]","[0.4405149519443512, 0.09927600622177124, -0.060212086886167526]","[0.42180871963500977, 0.2393140196800232, -0.044186968356370926]","[0.42841899394989014, 0.3573245406150818, 0.031208369880914688]","[0.5142091512680054, 0.363892525434494, 0.03600791469216347]","[0.5194973349571228, 0.5650021433830261, 0.07547958940267563]","[0.5259034037590027, 0.7662926912307739, 0.1246720626950264]","[0.5423849821090698, 0.10871630907058716, 0.00037562786019407213]","[0.559233546257019, 0.2521880269050598, 0.0029629431664943695]","[0.5589485168457031, 0.382129967212677, 0.03761687129735947]"
16:34:25.533024,"[0.47563010454177856, 0.36781179904937744, -0.026649678125977516]","[0.469754159450531, 0.5735927224159241, -0.012716523371636868]","[0.47253650426864624, 0.765559196472168, 0.028035694733262062]","[0.4389994442462921, 0.09968067705631256, -0.022553909569978714]","[0.420690655708313, 0.2380869835615158, 0.004976131487637758]","[0.4254091680049896, 0.35614001750946045, 0.10643412917852402]","[0.5134281516075134, 0.3632766306400299, 0.026622941717505455]","[0.5189258456230164, 0.5657617449760437, 0.07807724177837372]","[0.5258611440658569, 0.7632904648780823, 0.12525257468223572]","[0.5413357019424438, 0.1087530255317688, 0.0165545716881752]","[0.5579856038093567, 0.25088509917259216, 0.04140286147594452]","[0.55610191822052, 0.38053154945373535, 0.11942365765571594]"
16:34:25.597480,"[0.4711764454841614, 0.367935448884964, -0.023808857426047325]","[0.46971815824508667, 0.5724949836730957, -0.004403516184538603]","[0.4723266065120697, 0.764893114566803, 0.041168492287397385]","[0.43763989210128784, 0.09980735182762146, -0.020899806171655655]","[0.4197917580604553, 0.237107053399086, 0.010761833749711514]","[0.42493370175361633, 0.3558066785335541, 0.11907313019037247]","[0.5142406225204468, 0.36287450790405273, 0.023740721866488457]","[0.5193811655044556, 0.5659696459770203, 0.08244119584560394]","[0.5259805917739868, 0.7602319717407227, 0.13142499327659607]","[0.5406472086906433, 0.10874343663454056, 0.01782258413732052]","[0.5579032897949219, 0.24897807836532593, 0.04268232360482216]","[0.556160032749176, 0.37993234395980835, 0.12253865599632263]"
16:34:25.656894,"[0.4713776707649231, 0.36818310618400574, -0.025424355641007423]","[0.46992024779319763, 0.5714890956878662, -0.01224192138761282]","[0.47265276312828064, 0.7631292343139648, 0.033631958067417145]","[0.4373895525932312, 0.10011071711778641, -0.01898566447198391]","[0.41929489374160767, 0.23652434349060059, 0.012668919749557972]","[0.42493683099746704, 0.3532303273677826, 0.12230078130960464]","[0.5142398476600647, 0.3628722131252289, 0.025354672223329544]","[0.5194866061210632, 0.5663982629776001, 0.08187753707170486]","[0.5254871845245361, 0.7598844766616821, 0.12443143874406815]","[0.5405612587928772, 0.10869673639535904, 0.02073611691594124]","[0.5579124689102173, 0.24397249519824982, 0.044382255524396896]","[0.5563491582870483, 0.37662065029144287, 0.12876302003860474]"
16:34:25.715385,"[0.47010233998298645, 0.3684999644756317, -0.026152489706873894]","[0.4698934257030487, 0.5707361102104187, -0.010890176519751549]","[0.4726031422615051, 0.7625440359115601, 0.03388504683971405]","[0.4373273253440857, 0.1001901775598526, -0.02766103856265545]","[0.41917741298675537, 0.23607712984085083, 0.010779396630823612]","[0.42537638545036316, 0.3520607054233551, 0.13820336759090424]","[0.5162106156349182, 0.3629440367221832, 0.02609141729772091]","[0.5217553377151489, 0.5664746761322021, 0.08746679127216339]","[0.5259590744972229, 0.7599242329597473, 0.12982262670993805]","[0.5408852696418762, 0.10861420631408691, 0.02307925932109356]","[0.5581967234611511, 0.2428065538406372, 0.047899000346660614]","[0.5576016306877136, 0.3766311705112457, 0.13015367090702057]"
16:34:25.775393,"[0.4689599871635437, 0.36851057410240173, -0.026779979467391968]","[0.4696894884109497, 0.5694658160209656, -0.0075525520369410515]","[0.4722807705402374, 0.7616075277328491, 0.038802843540906906]","[0.43722423911094666, 0.1002567932009697, -0.03068261221051216]","[0.4192062318325043, 0.23611439764499664, 0.0012523161713033915]","[0.42540523409843445, 0.3524637520313263, 0.11287995427846909]","[0.5181134343147278, 0.36292511224746704, 0.02671949379146099]","[0.523754358291626, 0.5663909912109375, 0.08843027800321579]","[0.5275540947914124, 0.7600980401039124, 0.1329992264509201]","[0.5411959290504456, 0.10859349370002747, 0.029047954827547073]","[0.5583440661430359, 0.24258829653263092, 0.054037872701883316]","[0.5577070116996765, 0.37615594267845154, 0.13371065258979797]"
16:34:25.835543,"[0.46926942467689514, 0.36868399381637573, -0.02694317139685154]","[0.4697164297103882, 0.5686604976654053, -0.009463558904826641]","[0.4725312888622284, 0.7610177993774414, 0.03500209003686905]","[0.43726199865341187, 0.10059195756912231, -0.03262682631611824]","[0.4197012782096863, 0.23614974319934845, -0.0014761531492695212]","[0.42598503828048706, 0.35254591703414917, 0.10840409249067307]","[0.5187293291091919, 0.3631576895713806, 0.026886479929089546]","[0.5239803194999695, 0.5664091110229492, 0.08944065123796463]","[0.5278213024139404, 0.7602373361587524, 0.13334684073925018]","[0.541627049446106, 0.10859163850545883, 0.026078512892127037]","[0.5583359003067017, 0.24283413589000702, 0.04983280226588249]","[0.5577325224876404, 0.37542280554771423, 0.1253311038017273]"
16:34:25.895068,"[0.46944597363471985, 0.36875900626182556, -0.02706775814294815]","[0.4698598086833954, 0.5681548118591309, -0.01039813831448555]","[0.47304895520210266, 0.7600395083427429, 0.03310961648821831]","[0.437286913394928, 0.101542629301548, -0.03224467486143112]","[0.4201239347457886, 0.23739419877529144, -0.003347884863615036]","[0.42695868015289307, 0.3529772162437439, 0.10209020227193832]","[0.5191936492919922, 0.36359602212905884, 0.02704477682709694]","[0.5239317417144775, 0.5667632222175598, 0.0886310562491417]","[0.5280364155769348, 0.7606630921363831, 0.13300783932209015]","[0.5417792797088623, 0.10856318473815918, 0.025210373103618622]","[0.5582607388496399, 0.24259525537490845, 0.04820858687162399]","[0.5576754212379456, 0.37443807721138, 0.12171084433794022]"
16:34:25.955470,"[0.46962788701057434, 0.36893749237060547, -0.027516454458236694]","[0.4698847532272339, 0.5680949091911316, -0.011488244868814945]","[0.4733792841434479, 0.7596256136894226, 0.03082413226366043]","[0.43733328580856323, 0.10212405025959015, -0.030997734516859055]","[0.42048606276512146, 0.23796050250530243, -0.0091855488717556]","[0.42769747972488403, 0.3538713753223419, 0.07337862998247147]","[0.5190574526786804, 0.36424773931503296, 0.027480002492666245]","[0.5238781571388245, 0.566779375076294, 0.08649236708879471]","[0.528010904788971, 0.7616176605224609, 0.12699152529239655]","[0.5417824983596802, 0.10855338722467422, 0.023942265659570694]","[0.5579642057418823, 0.24273823201656342, 0.04328709840774536]","[0.5570286512374878, 0.37384679913520813, 0.10007209330797195]"
16:34:26.015134,"[0.46972331404685974, 0.3693341612815857, -0.02713615819811821]","[0.46937447786331177, 0.5681236386299133, -0.006373460870236158]","[0.4733700752258301, 0.7596023082733154, 0.03956534340977669]","[0.43733450770378113, 0.10235703736543655, -0.03798661753535271]","[0.42039766907691956, 0.23783524334430695, 0.0023683987092226744]","[0.4277525246143341, 0.349702924489975, 0.13264933228492737]","[0.5189473032951355, 0.364692747592926, 0.02705850452184677]","[0.5243262052536011, 0.566656231880188, 0.08807853609323502]","[0.5286175608634949, 0.7623711228370667, 0.13201230764389038]","[0.5417841672897339, 0.10886252671480179, 0.017541803419589996]","[0.5559618473052979, 0.24319085478782654, 0.046407006680965424]","[0.5552507638931274, 0.37369218468666077, 0.13793160021305084]"
