frame_time,left_hip,left_knee,left_ankle,left_shoulder,left_elbow,left_wrist,right_hip,right_knee,right_ankle,right_shoulder,right_elbow,right_wrist
16:41:11.612475,"[0.519540011882782, 0.24181705713272095, -0.10270927846431732]","[0.6277784109115601, 0.2712353467941284, 0.1967647224664688]","[0.7228181958198547, 0.31155651807785034, 0.4975068271160126]","[0.2960520386695862, 0.17791587114334106, -0.43790575861930847]","[0.3371627926826477, 0.4440988600254059, -0.4672068655490875]","[0.3391556739807129, 0.6958872675895691, -0.45852750539779663]","[0.48257139325141907, 0.2232840657234192, 0.1023634672164917]","[0.5997334718704224, 0.27408090233802795, 0.38562238216400146]","[0.7034270763397217, 0.30180054903030396, 0.6815295815467834]","[0.23853009939193726, 0.12659862637519836, -0.08194077759981155]","[0.27309074997901917, 0.34110963344573975, 0.04947485029697418]","[0.2595658302307129, 0.5240365862846375, 0.04283322021365166]"
16:41:11.679095,"[0.5182586908340454, 0.2507614195346832, -0.10297426581382751]","[0.623968243598938, 0.28274863958358765, 0.20867767930030823]","[0.7228704690933228, 0.31895139813423157, 0.5273489356040955]","[0.28627076745033264, 0.17791549861431122, -0.44543492794036865]","[0.332436203956604, 0.44508662819862366, -0.475151926279068]","[0.3393253684043884, 0.6962721347808838, -0.48433035612106323]","[0.4791068434715271, 0.21889923512935638, 0.10264133661985397]","[0.5963858366012573, 0.27337443828582764, 0.39886364340782166]","[0.7034403681755066, 0.3007838726043701, 0.7076546549797058]","[0.23359046876430511, 0.13053864240646362, -0.0808316171169281]","[0.26776397228240967, 0.3378472924232483, 0.061794109642505646]","[0.2570170760154724, 0.5210365653038025, 0.06532583385705948]"
16:41:11.742870,"[0.515489399433136, 0.25424855947494507, -0.10277041047811508]","[0.6164047122001648, 0.29129835963249207, 0.20348499715328217]","[0.7198706865310669, 0.32037797570228577, 0.510353684425354]","[0.28300216794013977, 0.17790324985980988, -0.44171735644340515]","[0.33010807633399963, 0.44457149505615234, -0.4591592252254486]","[0.33948495984077454, 0.6971036791801453, -0.4563831686973572]","[0.47439464926719666, 0.2189648449420929, 0.10244140774011612]","[0.5896284580230713, 0.27468985319137573, 0.3876459002494812]","[0.7011939883232117, 0.30094581842422485, 0.6845533847808838]","[0.22714540362358093, 0.13148586452007294, -0.08342132717370987]","[0.2626202702522278, 0.3380768299102783, 0.07023288309574127]","[0.2542860507965088, 0.5200420618057251, 0.09203942865133286]"
16:41:11.803157,"[0.512159526348114, 0.26100677251815796, -0.10444007813930511]","[0.6142683625221252, 0.293111115694046, 0.2056514322757721]","[0.7165189385414124, 0.320422887802124, 0.5187422037124634]","[0.2730272114276886, 0.17939139902591705, -0.43713510036468506]","[0.3304167687892914, 0.4433656930923462, -0.45772916078567505]","[0.3398526906967163, 0.6973356008529663, -0.4566182494163513]","[0.47462379932403564, 0.21906644105911255, 0.10412993282079697]","[0.5881445407867432, 0.27802643179893494, 0.3935982882976532]","[0.7007366418838501, 0.3018486201763153, 0.6984863877296448]","[0.22477182745933533, 0.13143570721149445, -0.07077150791883469]","[0.265300989151001, 0.3164033591747284, 0.12429631501436234]","[0.25447791814804077, 0.5006523132324219, 0.19593730568885803]"
16:41:11.861928,"[0.5102487802505493, 0.26352232694625854, -0.10515059530735016]","[0.6115345358848572, 0.29445675015449524, 0.20743237435817719]","[0.7137283682823181, 0.3202628791332245, 0.5260049700737]","[0.2708559036254883, 0.17891675233840942, -0.4463731646537781]","[0.3304966688156128, 0.44054797291755676, -0.46261465549468994]","[0.34039005637168884, 0.697348415851593, -0.4586082994937897]","[0.4731479585170746, 0.24157299101352692, 0.10484957695007324]","[0.5839226245880127, 0.28633207082748413, 0.3985355794429779]","[0.6990534663200378, 0.30204764008522034, 0.7110546827316284]","[0.2198508381843567, 0.14750352501869202, -0.08959431946277618]","[0.26552119851112366, 0.32401618361473083, 0.10024847090244293]","[0.25453224778175354, 0.5027526617050171, 0.1424117386341095]"
16:41:11.919830,"[0.5049272775650024, 0.27581921219825745, -0.10796169936656952]","[0.6063945889472961, 0.2986960709095001, 0.20722948014736176]","[0.7135212421417236, 0.32016047835350037, 0.523865282535553]","[0.26852086186408997, 0.1901501715183258, -0.452930748462677]","[0.3292854130268097, 0.4415621757507324, -0.4848853647708893]","[0.3402997851371765, 0.6974838972091675, -0.49940264225006104]","[0.46680179238319397, 0.24686264991760254, 0.10755101591348648]","[0.5775112509727478, 0.2899959087371826, 0.406108021736145]","[0.6959116458892822, 0.301780641078949, 0.7227919697761536]","[0.21445676684379578, 0.15068383514881134, -0.08331438153982162]","[0.26507291197776794, 0.32514798641204834, 0.12970900535583496]","[0.25296738743782043, 0.5044079422950745, 0.18322642147541046]"
16:41:11.979970,"[0.5005760192871094, 0.282673180103302, -0.10743328928947449]","[0.6033212542533875, 0.3029385507106781, 0.21349287033081055]","[0.7125003933906555, 0.32002925872802734, 0.5313791036605835]","[0.26785987615585327, 0.1927989423274994, -0.45186373591423035]","[0.327392578125, 0.4458726644515991, -0.48237520456314087]","[0.33821436762809753, 0.6996557116508484, -0.4938158690929413]","[0.46303945779800415, 0.24509528279304504, 0.10704220086336136]","[0.5777793526649475, 0.2927096486091614, 0.40435269474983215]","[0.6960708498954773, 0.30181291699409485, 0.7159368991851807]","[0.2110190987586975, 0.1492300182580948, -0.08425898849964142]","[0.26298487186431885, 0.32546547055244446, 0.11060062795877457]","[0.2523053288459778, 0.5058839917182922, 0.1459180861711502]"
16:41:12.038087,"[0.4979057312011719, 0.2829347848892212, -0.10439035296440125]","[0.603117823600769, 0.30643001198768616, 0.20535306632518768]","[0.7096153497695923, 0.3204781413078308, 0.5010554790496826]","[0.2669348120689392, 0.19258150458335876, -0.44372478127479553]","[0.32692962884902954, 0.4475657343864441, -0.4699782133102417]","[0.3378535509109497, 0.7021747827529907, -0.4873192012310028]","[0.45960313081741333, 0.2554354965686798, 0.1040075495839119]","[0.5762661099433899, 0.2988857626914978, 0.3795701861381531]","[0.6940175890922546, 0.3033771216869354, 0.6699553728103638]","[0.20830035209655762, 0.1489827036857605, -0.09315930306911469]","[0.2613679766654968, 0.3257788419723511, 0.10051701962947845]","[0.25130537152290344, 0.511774480342865, 0.14226888120174408]"
16:41:12.096551,"[0.49867281317710876, 0.2843947410583496, -0.10424637049436569]","[0.6045348644256592, 0.31036368012428284, 0.20739129185676575]","[0.7098543047904968, 0.32039880752563477, 0.5171006917953491]","[0.2681892514228821, 0.1965693086385727, -0.44365614652633667]","[0.32721757888793945, 0.453005313873291, -0.45468732714653015]","[0.3378724157810211, 0.7056009769439697, -0.44569504261016846]","[0.46019431948661804, 0.2588779628276825, 0.10388242453336716]","[0.5761049389839172, 0.3043716847896576, 0.3807881474494934]","[0.6943435668945312, 0.30450496077537537, 0.6846152544021606]","[0.2092149555683136, 0.1496785283088684, -0.0904921144247055]","[0.26150602102279663, 0.3350803256034851, 0.1074257344007492]","[0.25074782967567444, 0.5135711431503296, 0.15091294050216675]"
16:41:12.155132,"[0.4979921579360962, 0.28360360860824585, -0.10407789051532745]","[0.6053255200386047, 0.3085305988788605, 0.20693649351596832]","[0.7084282636642456, 0.3172643482685089, 0.5123071074485779]","[0.2668434679508209, 0.1960635483264923, -0.4438232481479645]","[0.32733139395713806, 0.45215627551078796, -0.4560634195804596]","[0.3378955125808716, 0.7059008479118347, -0.4502214193344116]","[0.4596622884273529, 0.26807326078414917, 0.10371366888284683]","[0.5747494101524353, 0.3089900016784668, 0.3816380202770233]","[0.690165638923645, 0.30670544505119324, 0.6852038502693176]","[0.20543763041496277, 0.15300488471984863, -0.0905526652932167]","[0.2619146406650543, 0.3361956477165222, 0.1136268898844719]","[0.2483537495136261, 0.5137514472007751, 0.17278553545475006]"
16:41:12.213972,"[0.49882569909095764, 0.2836340069770813, -0.10394979268312454]","[0.6035745143890381, 0.3096425235271454, 0.2239786833524704]","[0.7063409686088562, 0.3171415328979492, 0.5496314167976379]","[0.26684918999671936, 0.1981888860464096, -0.4391973316669464]","[0.3275091052055359, 0.4519977867603302, -0.44494885206222534]","[0.3379925787448883, 0.7073892951011658, -0.42924290895462036]","[0.4602818489074707, 0.26428624987602234, 0.10359923541545868]","[0.5733321905136108, 0.3072020411491394, 0.3970099687576294]","[0.6884827017784119, 0.30776888132095337, 0.7157199382781982]","[0.20677617192268372, 0.15082408487796783, -0.08114174753427505]","[0.262128084897995, 0.33622217178344727, 0.1271710991859436]","[0.24816028773784637, 0.5136135816574097, 0.19039402902126312]"
16:41:12.272863,"[0.4993506371974945, 0.28811225295066833, -0.10518214851617813]","[0.6006438732147217, 0.31121692061424255, 0.2305563986301422]","[0.7048199772834778, 0.31700125336647034, 0.5678466558456421]","[0.2663799524307251, 0.2042161375284195, -0.4413352906703949]","[0.32895463705062866, 0.4518054127693176, -0.4461396336555481]","[0.33883973956108093, 0.707273006439209, -0.4227532744407654]","[0.4606097936630249, 0.26187896728515625, 0.10485886037349701]","[0.5711363554000854, 0.3061079680919647, 0.41926708817481995]","[0.6848919987678528, 0.30757373571395874, 0.7516806125640869]","[0.2074754238128662, 0.15027432143688202, -0.0670335441827774]","[0.26224812865257263, 0.3390440046787262, 0.1344192624092102]","[0.24822834134101868, 0.5141262412071228, 0.18490459024906158]"
16:41:12.333046,"[0.498394638299942, 0.295574814081192, -0.10516466945409775]","[0.6011316180229187, 0.3124152719974518, 0.22636647522449493]","[0.7049625515937805, 0.31674063205718994, 0.5533725023269653]","[0.26284122467041016, 0.20641745626926422, -0.44368964433670044]","[0.3375549912452698, 0.44664904475212097, -0.4482014775276184]","[0.3406052589416504, 0.7065675258636475, -0.4275723397731781]","[0.46019044518470764, 0.26564446091651917, 0.10484063625335693]","[0.5715113878250122, 0.307513028383255, 0.41349777579307556]","[0.6858566403388977, 0.30753734707832336, 0.7348254919052124]","[0.2045575976371765, 0.15046198666095734, -0.07102824002504349]","[0.26635727286338806, 0.3398323059082031, 0.12518711388111115]","[0.250471830368042, 0.5142140984535217, 0.1777096539735794]"
16:41:12.391833,"[0.494496613740921, 0.3051268756389618, -0.10501495748758316]","[0.6013630032539368, 0.3172317445278168, 0.21872478723526]","[0.7051560878753662, 0.31645163893699646, 0.5093904137611389]","[0.25288447737693787, 0.22041094303131104, -0.4229430556297302]","[0.3421858251094818, 0.44352230429649353, -0.41863539814949036]","[0.3409379720687866, 0.7019498944282532, -0.3938554525375366]","[0.45875999331474304, 0.27308493852615356, 0.10469977557659149]","[0.5689521431922913, 0.3132835924625397, 0.39945557713508606]","[0.6863513588905334, 0.3081561028957367, 0.6988577246665955]","[0.19978255033493042, 0.1698353886604309, -0.06770787388086319]","[0.2693072259426117, 0.348298579454422, 0.14466899633407593]","[0.25053754448890686, 0.5144469141960144, 0.2395259290933609]"
16:41:12.451433,"[0.4846283495426178, 0.33095625042915344, -0.10509209334850311]","[0.5940625071525574, 0.32891935110092163, 0.21798720955848694]","[0.7045751810073853, 0.31860414147377014, 0.5083663463592529]","[0.24881604313850403, 0.2642518877983093, -0.3997734487056732]","[0.34764808416366577, 0.4469119906425476, -0.40762779116630554]","[0.34188756346702576, 0.7016099691390991, -0.39770618081092834]","[0.4523006081581116, 0.2831358015537262, 0.10477413237094879]","[0.5632227659225464, 0.32167500257492065, 0.3982863426208496]","[0.6837553381919861, 0.3092425763607025, 0.6950099468231201]","[0.19155307114124298, 0.18930684030056, -0.05772818252444267]","[0.26957476139068604, 0.3471880853176117, 0.16576263308525085]","[0.25064945220947266, 0.5143793225288391, 0.27333179116249084]"
16:41:12.511303,"[0.48313257098197937, 0.352123886346817, -0.10507941991090775]","[0.5953359603881836, 0.33936282992362976, 0.2078821212053299]","[0.7049007415771484, 0.32166242599487305, 0.4918443262577057]","[0.24305467307567596, 0.3019832670688629, -0.3801184892654419]","[0.36056023836135864, 0.46101516485214233, -0.3745245933532715]","[0.34249576926231384, 0.7015283107757568, -0.33064472675323486]","[0.45156726241111755, 0.3001459538936615, 0.10476163029670715]","[0.5646985769271851, 0.3314567804336548, 0.3818732500076294]","[0.6842485666275024, 0.3127994239330292, 0.6636688709259033]","[0.18911297619342804, 0.2241910845041275, -0.051466263830661774]","[0.27361154556274414, 0.3559066653251648, 0.16817855834960938]","[0.25047096610069275, 0.5144386291503906, 0.27722781896591187]"
16:41:12.570458,"[0.4814750552177429, 0.3726844787597656, -0.10805869847536087]","[0.5965301394462585, 0.34349125623703003, 0.19587916135787964]","[0.7051597237586975, 0.3225821256637573, 0.47641605138778687]","[0.2400742471218109, 0.33619967103004456, -0.38874325156211853]","[0.3680240511894226, 0.47959572076797485, -0.37932533025741577]","[0.3436659872531891, 0.6982542872428894, -0.32250073552131653]","[0.4505588412284851, 0.3300877809524536, 0.1076909750699997]","[0.5651293992996216, 0.34365853667259216, 0.3822692930698395]","[0.6845273375511169, 0.31965214014053345, 0.6677559018135071]","[0.18803668022155762, 0.2693633735179901, -0.05547618493437767]","[0.2785521447658539, 0.38052400946617126, 0.16437289118766785]","[0.2467394769191742, 0.5193988084793091, 0.27713364362716675]"
16:41:12.629800,"[0.4803992509841919, 0.39204728603363037, -0.10876695066690445]","[0.5969136953353882, 0.3510555326938629, 0.18778561055660248]","[0.705784797668457, 0.3224940299987793, 0.45158952474594116]","[0.24117881059646606, 0.37489354610443115, -0.39384180307388306]","[0.37639424204826355, 0.49142104387283325, -0.3869783580303192]","[0.3441799283027649, 0.6955464482307434, -0.3350318968296051]","[0.4458366334438324, 0.3540812134742737, 0.10841178894042969]","[0.562400758266449, 0.35888004302978516, 0.3791693150997162]","[0.6834840178489685, 0.3232700526714325, 0.661696195602417]","[0.185215562582016, 0.3019832968711853, -0.06887317448854446]","[0.278693288564682, 0.40157651901245117, 0.167729452252388]","[0.24422578513622284, 0.5252236723899841, 0.32723909616470337]"
16:41:12.689053,"[0.47314608097076416, 0.40913617610931396, -0.1087624579668045]","[0.5923821926116943, 0.3654021620750427, 0.18780721724033356]","[0.7059324383735657, 0.32129544019699097, 0.45454391837120056]","[0.2403576821088791, 0.3990902900695801, -0.39868560433387756]","[0.37607094645500183, 0.49884986877441406, -0.393724650144577]","[0.34067028760910034, 0.6956377029418945, -0.3483610153198242]","[0.43619510531425476, 0.37459346652030945, 0.10843279212713242]","[0.5586383938789368, 0.37501242756843567, 0.379684180021286]","[0.6838599443435669, 0.32537779211997986, 0.6643974781036377]","[0.1751403659582138, 0.34164685010910034, -0.09824574738740921]","[0.2776666283607483, 0.41667500138282776, 0.16038773953914642]","[0.23710209131240845, 0.5321019291877747, 0.31976476311683655]"
